İlçe,Metrekare (Net),Oda Sayısı,Bulunduğu Kat,Kat Sayısı,Balkon Durumu,Eşya Durumu,Kullanım Durumu,Sitede Olma Durumu,Kimden,Salon Sayısı,Bina Yaşı Sınıfı,Isınma Sınıfı,Fiyat (TL)
3,125.0,2.0,2,3,1,0,0,1,2,1.0,0,6,2119999.0
3,250.0,5.0,3,4,1,0,0,0,2,2.0,1,6,2699000.0
18,105.0,3.0,5,6,1,0,1,0,2,1.0,7,6,8000000.0
5,100.0,2.0,10,17,1,0,2,1,2,1.0,5,5,1380000.0
5,56.0,1.0,11,17,0,0,0,1,2,1.0,5,4,975000.0
5,180.0,3.0,11,13,1,0,0,1,2,1.0,5,5,4350000.0
5,65.0,1.0,1,14,0,0,0,1,2,1.0,5,4,965000.0
5,120.0,3.0,13,20,0,0,0,1,2,1.0,5,6,2600000.0
3,100.0,2.0,1,5,1,0,0,0,2,1.0,0,6,1879000.0
5,95.0,2.0,3,6,1,0,0,0,2,1.0,0,6,1850000.0
3,95.0,2.0,1,4,1,0,0,1,2,1.0,0,6,3000000.0
3,95.0,2.0,4,7,0,0,1,1,2,1.0,4,6,3375000.0
3,145.0,3.0,3,5,1,0,0,1,2,1.0,0,6,3599999.0
8,240.0,5.0,8,8,1,0,0,0,2,2.0,4,6,16250000.0
3,100.0,2.0,3,5,1,0,0,0,2,1.0,0,6,768000.0
16,70.0,1.0,8,25,1,0,0,1,2,1.0,5,5,7350000.0
8,96.0,3.0,9,14,1,0,0,0,2,1.0,0,5,7950000.0
3,95.0,2.0,2,3,1,0,0,1,2,1.0,0,6,2599000.0
3,70.0,1.0,3,25,1,0,0,1,2,1.0,0,6,849000.0
3,100.0,2.0,3,4,1,0,2,0,2,1.0,0,6,1250000.0
11,80.0,2.0,1,4,1,0,0,0,2,1.0,9,6,2750000.0
5,90.0,2.0,1,5,1,0,0,0,2,1.0,3,6,690000.0
1,140.0,3.0,4,4,1,0,2,0,2,1.0,5,6,9750000.0
8,120.0,3.0,4,9,1,0,2,0,2,1.0,10,5,5050000.0
8,205.0,5.0,1,9,0,0,1,1,2,2.0,5,5,21750000.0
8,112.0,3.0,9,9,1,0,0,0,2,1.0,5,6,15000000.0
15,85.0,2.0,4,5,1,0,0,0,1,1.0,5,6,2150000.0
5,95.0,2.0,5,6,1,0,1,0,1,1.0,5,6,1600000.0
4,95.0,2.0,1,3,1,0,0,0,2,1.0,7,6,1980000.0
3,165.0,3.0,5,5,1,0,0,0,2,1.0,0,6,2699000.0
3,100.0,2.0,2,5,1,0,0,1,2,1.0,0,6,2449000.0
5,105.0,2.0,2,5,1,0,0,0,2,1.0,3,6,1049900.0
3,120.0,3.0,1,5,1,0,0,0,2,1.0,4,6,779900.0
11,80.0,2.0,4,4,1,0,2,0,2,1.0,6,6,4150000.0
5,125.0,3.0,2,5,1,0,0,1,2,1.0,0,6,1395000.0
3,145.0,3.0,6,8,1,0,1,1,2,1.0,5,5,5500000.0
9,70.0,2.0,1,5,1,0,2,0,2,1.0,5,6,2895000.0
9,120.0,3.0,4,6,1,0,2,0,2,1.0,8,6,2750000.0
3,110.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1999000.0
1,100.0,3.0,3,5,1,0,0,0,2,1.0,0,6,6600000.0
8,100.0,3.0,1,9,1,0,1,0,2,1.0,9,6,4500000.0
5,95.0,2.0,1,5,0,0,0,0,2,1.0,4,6,1269000.0
3,150.0,4.0,1,5,0,0,0,0,2,1.0,5,6,890000.0
3,137.0,3.0,2,5,1,0,0,0,2,1.0,0,6,2799000.0
5,135.0,3.0,19,25,1,0,0,1,2,1.0,4,6,2099000.0
3,110.0,2.0,1,3,1,0,0,0,2,1.0,0,6,1280000.0
3,105.0,3.0,3,9,1,0,0,1,2,1.0,0,5,4950000.0
3,89.0,3.0,2,9,1,0,0,1,2,1.0,0,5,4950000.0
3,105.0,3.0,1,9,1,0,0,1,2,1.0,0,5,4990000.0
17,75.0,2.0,1,6,0,0,2,0,2,1.0,5,6,1850000.0
3,125.0,2.0,2,4,1,0,0,1,2,1.0,0,6,2994999.0
11,75.0,2.0,1,4,1,0,2,0,2,1.0,5,6,3650000.0
9,54.0,1.0,8,10,0,1,0,1,2,1.0,4,5,2650000.0
3,180.0,4.0,4,4,1,0,0,1,2,2.0,0,6,4199000.0
11,62.0,1.0,1,5,0,0,0,0,2,1.0,5,6,1675000.0
9,85.0,2.0,7,27,1,0,0,1,2,1.0,0,5,7350000.0
9,51.0,1.0,5,11,1,0,0,0,0,1.0,0,5,2250000.0
9,135.0,3.0,6,12,1,0,1,0,2,1.0,8,6,2900000.0
9,80.0,2.0,1,4,1,0,0,0,2,1.0,9,4,1550000.0
9,115.0,3.0,6,9,1,0,2,1,2,1.0,9,6,2089000.0
9,70.0,2.0,1,3,1,0,2,0,2,1.0,5,6,2198000.0
9,100.0,3.0,3,5,1,0,2,0,2,1.0,8,6,1745000.0
9,80.0,2.0,2,3,1,0,0,0,2,1.0,6,6,2550000.0
9,55.0,1.0,6,15,0,1,2,1,2,1.0,5,5,2550000.0
9,105.0,3.0,7,8,1,0,1,0,2,1.0,10,6,2800000.0
9,165.0,4.0,22,22,1,0,0,1,2,2.0,0,5,7750000.0
9,120.0,3.0,3,5,1,0,2,1,2,1.0,6,6,3600000.0
9,90.0,3.0,1,4,1,0,0,0,2,1.0,5,6,3390000.0
9,68.0,1.0,6,15,1,0,0,1,2,1.0,5,5,3590000.0
9,75.0,2.0,1,4,0,0,0,0,2,1.0,0,6,2500000.0
9,85.0,2.0,3,10,1,0,0,0,2,1.0,5,6,2300000.0
9,120.0,3.0,4,6,1,0,1,1,2,1.0,9,6,3590000.0
1,100.0,3.0,3,3,1,0,2,1,2,1.0,10,6,8250000.0
1,120.0,3.0,1,5,1,0,2,0,2,1.0,8,6,6250000.0
1,230.0,4.0,-1,5,1,0,2,0,2,1.0,6,6,7750000.0
1,90.0,2.0,1,4,1,0,2,0,2,1.0,5,6,6800000.0
1,75.0,2.0,2,4,0,0,2,0,2,1.0,10,6,1650000.0
1,250.0,5.0,5,5,1,0,1,1,2,1.0,5,5,14500000.0
1,140.0,3.0,1,5,1,0,2,0,2,1.0,2,6,17000000.0
1,75.0,2.0,1,5,1,0,2,0,2,1.0,9,6,5500000.0
1,200.0,4.0,2,3,1,0,2,0,2,1.0,6,6,15100000.0
1,70.0,1.0,3,4,1,0,2,0,2,1.0,10,6,2300000.0
1,163.0,3.0,5,5,1,0,0,1,2,1.0,0,5,21000000.0
1,140.0,3.0,1,2,1,0,1,0,2,1.0,6,6,11500000.0
1,69.0,1.0,1,5,1,0,0,0,2,1.0,3,6,6200000.0
1,180.0,3.0,5,7,1,0,1,1,2,1.0,5,5,19250000.0
1,29.0,1.0,8,17,1,0,1,1,1,1.0,1,5,9950000.0
1,90.0,2.0,2,5,1,0,2,0,2,1.0,6,6,5720000.0
1,80.0,2.0,2,8,1,0,2,1,2,1.0,5,5,5550000.0
1,120.0,3.0,4,5,1,0,1,0,2,2.0,7,6,5600000.0
1,85.0,2.0,2,4,1,0,2,0,2,1.0,4,6,6500000.0
4,110.0,2.0,8,8,1,1,0,1,1,1.0,6,5,3450000.0
